"User_ID","Age","Gender","Location","Income","Interests","Last_Login_Days_Ago","Purchase_Frequency","Average_Order_Value","Total_Spending","Product_Category_Preference","Time_Spent_on_Site_Minutes","Pages_Viewed","Newsletter_Subscription","RFM_score","Recency","Frequency","Monetary","customer_segment","macro_segment"
"1","56","Male","Suburban","66266","Sports","5","7","528.29","3698","Books","584","38","True","13","5","7","3698","重要唤回客户","核心客户"
"2","46","Female","Rural","30581","Technology","15","1","567","567","Electronics","432","40","False","5","15","1","567","一般维持客户","一般客户"
"3","32","Female","Suburban","109943","Sports","28","7","475.29","3327","Apparel","306","1","True","8","28","7","3327","潜力客户","潜力客户"
"4","60","Female","Suburban","91369","Fashion","18","6","450.5","2703","Apparel","527","29","False","9","18","6","2703","潜力客户","潜力客户"
"5","25","Male","Suburban","49255","Travel","2","19","145.11","2757","Health & Beauty","53","10","True","14","2","19","2757","重要价值客户","核心客户"
"6","38","Male","Suburban","119277","Travel","22","17","125.41","2132","Books","520","28","False","10","22","17","2132","重要挽留客户","重要客户"
"7","56","Male","Urban","68351","Fashion","11","9","187.56","1688","Home & Kitchen","330","31","True","10","11","9","1688","重要挽留客户","重要客户"
"8","36","Male","Urban","46005","Technology","26","2","549","1098","Apparel","558","19","True","4","26","2","1098","流失客户","流失客户"
"9","40","Male","Rural","22838","Travel","25","20","94","1880","Books","325","3","True","8","25","20","1880","潜力客户","潜力客户"
"10","28","Male","Urban","46722","Food","13","18","247.78","4460","Electronics","114","36","False","14","13","18","4460","重要价值客户","核心客户"
"11","28","Male","Urban","118122","Travel","4","9","11.67","105","Health & Beauty","147","43","True","10","4","9","105","重要挽留客户","重要客户"
"12","41","Male","Rural","39736","Food","22","9","237","2133","Electronics","166","15","False","9","22","9","2133","潜力客户","潜力客户"
"13","53","Female","Rural","36562","Fashion","7","2","223.5","447","Apparel","379","33","True","7","7","2","447","新客户","一般客户"
"14","57","Female","Rural","9659","Fashion","29","10","11.6","116","Apparel","139","41","True","6","29","10","116","一般维持客户","一般客户"
"15","41","Male","Urban","141025","Travel","11","8","469.13","3753","Electronics","299","43","False","13","11","8","3753","重要唤回客户","核心客户"
"16","20","Male","Urban","71386","Sports","22","11","352.27","3875","Apparel","276","45","True","11","22","11","3875","重要深耕客户","重要客户"
"17","39","Female","Rural","12496","Food","24","18","35.5","639","Books","178","26","False","8","24","18","639","潜力客户","潜力客户"
"18","19","Male","Suburban","70578","Technology","4","3","1102.33","3307","Apparel","354","16","False","11","4","3","3307","重要深耕客户","重要客户"
"19","41","Male","Rural","19631","Travel","28","13","95.08","1236","Health & Beauty","154","36","False","8","28","13","1236","潜力客户","潜力客户"
"20","61","Male","Suburban","98048","Technology","15","3","1456.33","4369","Books","201","33","False","10","15","3","4369","重要挽留客户","重要客户"
"21","47","Female","Suburban","73151","Travel","1","5","522.2","2611","Home & Kitchen","115","20","True","11","1","5","2611","重要深耕客户","重要客户"
"22","55","Female","Rural","609","Sports","23","6","415","2490","Apparel","554","13","True","8","23","6","2490","潜力客户","潜力客户"
"23","19","Female","Rural","11626","Sports","3","7","33.57","235","Apparel","68","33","False","9","3","7","235","潜力客户","潜力客户"
"24","38","Female","Rural","8122","Sports","14","9","161.11","1450","Health & Beauty","445","5","True","9","14","9","1450","潜力客户","潜力客户"
"25","50","Female","Urban","99657","Sports","6","8","518.5","4148","Health & Beauty","445","37","True","14","6","8","4148","重要价值客户","核心客户"
"26","29","Male","Suburban","68802","Fashion","18","2","861","1722","Electronics","326","14","False","6","18","2","1722","一般维持客户","一般客户"
"27","39","Female","Urban","144722","Fashion","25","1","625","625","Electronics","359","27","True","3","25","1","625","流失客户","流失客户"
"28","61","Male","Urban","40022","Food","1","17","13.41","228","Electronics","145","23","False","11","1","17","228","重要深耕客户","重要客户"
"29","42","Male","Rural","7400","Technology","6","3","633.67","1901","Health & Beauty","275","14","True","9","6","3","1901","潜力客户","潜力客户"
"30","44","Female","Urban","55583","Travel","6","18","196.39","3535","Electronics","509","40","True","14","6","18","3535","重要价值客户","核心客户"
"31","59","Female","Rural","5928","Travel","21","19","37.68","716","Electronics","179","4","False","8","21","19","716","潜力客户","潜力客户"
"32","45","Male","Suburban","53746","Fashion","16","10","308.9","3089","Home & Kitchen","477","39","True","11","16","10","3089","重要深耕客户","重要客户"
"33","33","Male","Rural","6788","Travel","29","12","157.33","1888","Electronics","414","19","True","7","29","12","1888","新客户","一般客户"
"34","32","Male","Urban","143718","Fashion","5","7","712","4984","Apparel","153","47","False","13","5","7","4984","重要唤回客户","核心客户"
"35","64","Female","Urban","3587","Food","17","16","84.13","1346","Health & Beauty","104","4","True","10","17","16","1346","重要挽留客户","重要客户"
"36","61","Female","Rural","9000","Technology","10","1","497","497","Books","75","30","False","6","10","1","497","一般维持客户","一般客户"
"37","20","Female","Rural","7917","Food","28","18","50.06","901","Home & Kitchen","128","19","True","7","28","18","901","新客户","一般客户"
"38","54","Female","Urban","17578","Sports","21","3","1351","4053","Health & Beauty","568","31","False","9","21","3","4053","潜力客户","潜力客户"
"39","24","Female","Suburban","75027","Sports","18","3","842.67","2528","Health & Beauty","345","31","False","8","18","3","2528","潜力客户","潜力客户"
"40","38","Male","Suburban","71140","Sports","7","11","344.73","3792","Apparel","531","9","False","14","7","11","3792","重要价值客户","核心客户"
"41","26","Female","Rural","17058","Food","3","13","86.69","1127","Electronics","159","13","False","12","3","13","1127","重要深耕客户","重要客户"
"42","56","Male","Suburban","58542","Travel","13","12","182.5","2190","Apparel","538","14","False","11","13","12","2190","重要深耕客户","重要客户"
"43","35","Male","Urban","144638","Technology","15","2","4184","8368","Electronics","426","46","True","10","15","2","8368","重要挽留客户","重要客户"
"44","21","Male","Rural","36822","Sports","20","13","17.31","225","Electronics","23","10","True","8","20","13","225","潜力客户","潜力客户"
"45","42","Female","Urban","113010","Sports","19","4","889","3556","Health & Beauty","47","48","False","8","19","4","3556","潜力客户","潜力客户"
"46","31","Female","Urban","46479","Sports","3","6","684","4104","Electronics","525","31","True","13","3","6","4104","重要唤回客户","核心客户"
"47","26","Female","Suburban","94334","Technology","4","1","3107","3107","Home & Kitchen","144","37","False","10","4","1","3107","重要挽留客户","重要客户"
"48","43","Male","Rural","32925","Sports","5","9","240.89","2168","Home & Kitchen","585","23","True","12","5","9","2168","重要深耕客户","重要客户"
